,index,R1,R1 (Paper) Satisfied,R2,R2 (Paper) Satisfied,R3,R3 (Paper) Satisfied,R4a (9),R4b (0),R4 (Paper) Satisfied
0,dg_random_random_slower_opm,1.411178801111842,True,2.9207323503056166,True,1,True,7.1,6.9,True
1,dg_random_random_slower_nopm,0.23977450560005753,True,7.462945228000514,True,1,True,0.4,1.4,True
2,dg_random_bipart_slower_opm,1.9236772822350072,True,3.7953672295958656,True,9,False,11.4,7.8,True
3,dg_random_bipart_slower_nopm,0.3335709557380362,True,10.650596176802836,True,1,True,1.7,1.2,True
4,dg_periodic_random_slower_opm,1.543991936337726,True,2.3737255276923355,True,1,True,7.6,7.6,True
5,dg_periodic_random_slower_nopm,0.24265698785667045,True,7.440268937094308,True,1,True,0.8,1.5,True
6,dg_periodic_bipart_slower_opm,1.978716080889528,True,3.4931735846750582,True,3,False,11.4,8.4,True
7,dg_periodic_bipart_slower_nopm,0.28204689635082936,True,10.862631456008334,True,0,False,1.3,1.1,True
8,wm_random_random_slower_opm,0.12630000000000008,True,7.620585858585858,True,1,True,1.4,-3.2,False
9,wm_random_random_slower_nopm,-0.018400000000000194,False,8.351050505050505,True,1,True,-0.4,0.2,False
10,wm_random_bipart_slower_opm,0.21730000000000027,True,10.419737373737373,True,1,True,-3.7,2.3,False
11,wm_random_bipart_slower_nopm,0.050000000000000266,True,11.728555555555555,True,1,True,1.2,0.4,True
12,wm_periodic_random_slower_opm,-0.2280000000000002,False,9.240060606060606,True,1,True,1.2,0.8,True
13,wm_periodic_random_slower_nopm,0.004999999999999893,True,8.328353535353534,True,1,True,0.0,-0.1,False
14,wm_periodic_bipart_slower_opm,0.004999999999999893,True,11.308222222222222,True,1,True,1.2,4.5,True
15,wm_periodic_bipart_slower_nopm,0.0009999999999998899,True,11.888161616161614,True,1,True,0.6,0.0,False
